utterance_id,language,intent,text
V000097,English,start_game,Start the memory game
V000098,English,start_game,Start the memory game
V000099,English,start_game,Start the memory game
V000100,English,start_game,Start the memory game
V000101,English,start_game,Start the memory game
V000102,English,start_game,Start the memory game
V000103,English,start_game,Start the memory game
V000104,English,start_game,Start the memory game
V000105,English,start_game,Start the memory game
V000106,English,start_game,Start the memory game
V000107,English,start_game,Start the memory game
V000108,English,start_game,Start the memory game
V000109,English,start_game,Start the memory game
V000110,English,start_game,Start the memory game
V000111,English,start_game,Start the memory game
V000112,English,start_game,Start the memory game
V000113,English,start_game,Start the memory game
V000114,English,start_game,Start the memory game
V000115,English,start_game,Start the memory game
V000116,English,start_game,Start the memory game
V000117,English,start_game,Start the memory game
V000118,English,start_game,Start the memory game
V000119,English,start_game,Start the memory game
V000120,English,start_game,Start the memory game
V000121,English,start_game,Start the memory game
V000122,English,start_game,Start the memory game
V000123,English,start_game,Start the memory game
V000124,English,start_game,Start the memory game
V000125,English,start_game,Start the memory game
V000126,English,start_game,Start the memory game
V000127,English,start_game,Start the memory game
V000128,English,start_game,Start the memory game
V000129,English,start_game,Start the memory game
V000130,English,start_game,Start the memory game
V000131,English,start_game,Start the memory game
V000132,English,start_game,Start the memory game
V000133,English,start_game,Start the memory game
V000134,English,start_game,Start the memory game
V000135,English,start_game,Start the memory game
V000136,English,start_game,Start the memory game
V000137,English,start_game,Start the memory game
V000138,English,start_game,Start the memory game
V000139,English,start_game,Start the memory game
V000140,English,start_game,Start the memory game
V000141,English,start_game,Start the memory game
V000142,English,start_game,Start the memory game
V000143,English,start_game,Start the memory game
V000144,English,start_game,Start the memory game
V000145,English,start_game,Start the memory game
V000146,English,start_game,Start the memory game
V000147,English,start_game,Start the memory game
V000148,English,start_game,Start the memory game
V000149,English,start_game,Start the memory game
V000150,English,start_game,Start the memory game
V000151,English,start_game,Start the memory game
V000152,English,start_game,Start the memory game
V000153,English,start_game,Start the memory game
V000154,English,start_game,Start the memory game
V000155,English,start_game,Start the memory game
V000156,English,start_game,Start the memory game
V000157,English,start_game,Start the memory game
V000158,English,start_game,Start the memory game
V000159,English,start_game,Start the memory game
V000160,English,start_game,Start the memory game
V000161,English,start_game,Start the memory game
V000162,English,start_game,Start the memory game
V000163,English,start_game,Start the memory game
V000164,English,start_game,Start the memory game
V000165,English,start_game,Start the memory game
V000166,English,start_game,Start the memory game
V000167,English,start_game,Start the memory game
V000168,English,start_game,Start the memory game
V000169,English,start_game,Start the memory game
V000170,English,start_game,Start the memory game
V000171,English,start_game,Start the memory game
V000172,English,start_game,Start the memory game
V000173,English,start_game,Start the memory game
V000174,English,start_game,Start the memory game
V000175,English,start_game,Start the memory game
V000176,English,start_game,Start the memory game
V000177,English,start_game,Start the memory game
V000178,English,start_game,Start the memory game
V000179,English,start_game,Start the memory game
V000180,English,start_game,Start the memory game
V000181,English,start_game,Start the memory game
V000182,English,start_game,Start the memory game
V000183,English,start_game,Start the memory game
V000184,English,start_game,Start the memory game
V000185,English,start_game,Start the memory game
V000186,English,start_game,Start the memory game
V000187,English,start_game,Start the memory game
V000188,English,start_game,Start the memory game
V000189,English,start_game,Start the memory game
V000190,English,start_game,Start the memory game
V000191,English,start_game,Start the memory game
V000192,English,start_game,Start the memory game
V000193,English,start_game,Start the memory game
V000194,English,start_game,Start the memory game
V000195,English,start_game,Start the memory game
V000196,English,start_game,Start the memory game
V000197,English,start_game,Start the memory game
V000198,English,start_game,Start the memory game
V000199,English,start_game,Start the memory game
V000200,English,start_game,Start the memory game
V000201,Hindi,start_game,मेमोरी गेम शुरू करो
V000202,Hindi,start_game,मेमोरी गेम शुरू करो
V000203,Hindi,start_game,मेमोरी गेम शुरू करो
V000204,Hindi,start_game,मेमोरी गेम शुरू करो
V000205,Hindi,start_game,मेमोरी गेम शुरू करो
V000206,Hindi,start_game,मेमोरी गेम शुरू करो
V000207,Hindi,start_game,मेमोरी गेम शुरू करो
V000208,Hindi,start_game,मेमोरी गेम शुरू करो
V000209,Hindi,start_game,मेमोरी गेम शुरू करो
V000210,Hindi,start_game,मेमोरी गेम शुरू करो
V000211,Hindi,start_game,मेमोरी गेम शुरू करो
V000212,Hindi,start_game,मेमोरी गेम शुरू करो
V000213,Hindi,start_game,मेमोरी गेम शुरू करो
V000214,Hindi,start_game,मेमोरी गेम शुरू करो
V000215,Hindi,start_game,मेमोरी गेम शुरू करो
V000216,Hindi,start_game,मेमोरी गेम शुरू करो
V000217,Hindi,start_game,मेमोरी गेम शुरू करो
V000218,Hindi,start_game,मेमोरी गेम शुरू करो
V000219,Hindi,start_game,मेमोरी गेम शुरू करो
V000220,Hindi,start_game,मेमोरी गेम शुरू करो
V000221,Hindi,start_game,मेमोरी गेम शुरू करो
V000222,Hindi,start_game,मेमोरी गेम शुरू करो
V000223,Hindi,start_game,मेमोरी गेम शुरू करो
V000224,Hindi,start_game,मेमोरी गेम शुरू करो
V000225,Hindi,start_game,मेमोरी गेम शुरू करो
V000226,Hindi,start_game,मेमोरी गेम शुरू करो
V000227,Hindi,start_game,मेमोरी गेम शुरू करो
V000228,Hindi,start_game,मेमोरी गेम शुरू करो
V000229,Hindi,start_game,मेमोरी गेम शुरू करो
V000230,Hindi,start_game,मेमोरी गेम शुरू करो
V000231,Hindi,start_game,मेमोरी गेम शुरू करो
V000232,Hindi,start_game,मेमोरी गेम शुरू करो
V000233,Hindi,start_game,मेमोरी गेम शुरू करो
V000234,Hindi,start_game,मेमोरी गेम शुरू करो
V000235,Hindi,start_game,मेमोरी गेम शुरू करो
V000236,Hindi,start_game,मेमोरी गेम शुरू करो
V000237,Hindi,start_game,मेमोरी गेम शुरू करो
V000238,Hindi,start_game,मेमोरी गेम शुरू करो
V000239,Hindi,start_game,मेमोरी गेम शुरू करो
V000240,Hindi,start_game,मेमोरी गेम शुरू करो
V000241,Hindi,start_game,मेमोरी गेम शुरू करो
V000242,Hindi,start_game,मेमोरी गेम शुरू करो
V000243,Hindi,start_game,मेमोरी गेम शुरू करो
V000244,Hindi,start_game,मेमोरी गेम शुरू करो
V000245,Hindi,start_game,मेमोरी गेम शुरू करो
V000246,Hindi,start_game,मेमोरी गेम शुरू करो
V000247,Hindi,start_game,मेमोरी गेम शुरू करो
V000248,Hindi,start_game,मेमोरी गेम शुरू करो
V000249,Hindi,start_game,मेमोरी गेम शुरू करो
V000250,Hindi,start_game,मेमोरी गेम शुरू करो
V000251,Hindi,start_game,मेमोरी गेम शुरू करो
V000252,Hindi,start_game,मेमोरी गेम शुरू करो
V000253,Hindi,start_game,मेमोरी गेम शुरू करो
V000254,Hindi,start_game,मेमोरी गेम शुरू करो
V000255,Hindi,start_game,मेमोरी गेम शुरू करो
V000256,Hindi,start_game,मेमोरी गेम शुरू करो
V000257,Hindi,start_game,मेमोरी गेम शुरू करो
V000258,Hindi,start_game,मेमोरी गेम शुरू करो
V000259,Hindi,start_game,मेमोरी गेम शुरू करो
V000260,Hindi,start_game,मेमोरी गेम शुरू करो
V000261,Hindi,start_game,मेमोरी गेम शुरू करो
V000262,Hindi,start_game,मेमोरी गेम शुरू करो
V000263,Hindi,start_game,मेमोरी गेम शुरू करो
V000264,Hindi,start_game,मेमोरी गेम शुरू करो
V000265,Hindi,start_game,मेमोरी गेम शुरू करो
V000266,Hindi,start_game,मेमोरी गेम शुरू करो
V000267,Hindi,start_game,मेमोरी गेम शुरू करो
V000268,Hindi,start_game,मेमोरी गेम शुरू करो
V000269,Hindi,start_game,मेमोरी गेम शुरू करो
V000270,Hindi,start_game,मेमोरी गेम शुरू करो
V000271,Hindi,start_game,मेमोरी गेम शुरू करो
V000272,Hindi,start_game,मेमोरी गेम शुरू करो
V000273,Hindi,start_game,मेमोरी गेम शुरू करो
V000274,Hindi,start_game,मेमोरी गेम शुरू करो
V000275,Hindi,start_game,मेमोरी गेम शुरू करो
V000276,Hindi,start_game,मेमोरी गेम शुरू करो
V000277,Hindi,start_game,मेमोरी गेम शुरू करो
V000278,Hindi,start_game,मेमोरी गेम शुरू करो
V000279,Hindi,start_game,मेमोरी गेम शुरू करो
V000280,Hindi,start_game,मेमोरी गेम शुरू करो
V000281,Hindi,start_game,मेमोरी गेम शुरू करो
V000282,Hindi,start_game,मेमोरी गेम शुरू करो
V000283,Hindi,start_game,मेमोरी गेम शुरू करो
V000284,Hindi,start_game,मेमोरी गेम शुरू करो
V000285,Hindi,start_game,मेमोरी गेम शुरू करो
V000286,Hindi,start_game,मेमोरी गेम शुरू करो
V000287,Hindi,start_game,मेमोरी गेम शुरू करो
V000288,Hindi,start_game,मेमोरी गेम शुरू करो
V000289,Hindi,start_game,मेमोरी गेम शुरू करो
V000290,Hindi,start_game,मेमोरी गेम शुरू करो
V000291,Hindi,start_game,मेमोरी गेम शुरू करो
V000292,Hindi,start_game,मेमोरी गेम शुरू करो
V000293,Hindi,start_game,मेमोरी गेम शुरू करो
V000294,Hindi,start_game,मेमोरी गेम शुरू करो
V000295,Hindi,start_game,मेमोरी गेम शुरू करो
V000296,Hindi,start_game,मेमोरी गेम शुरू करो
V000297,Hindi,start_game,मेमोरी गेम शुरू करो
V000298,Hindi,start_game,मेमोरी गेम शुरू करो
V000299,Hindi,start_game,मेमोरी गेम शुरू करो
V000300,Hindi,start_game,मेमोरी गेम शुरू करो
V000301,Hindi,start_game,मेमोरी गेम शुरू करो
V000302,Hindi,start_game,मेमोरी गेम शुरू करो
V000303,Hindi,start_game,मेमोरी गेम शुरू करो
V000304,Hindi,start_game,मेमोरी गेम शुरू करो
V000305,Hindi,start_game,मेमोरी गेम शुरू करो
V000306,Hindi,start_game,मेमोरी गेम शुरू करो
V000307,Hindi,start_game,मेमोरी गेम शुरू करो
V000308,Hindi,start_game,मेमोरी गेम शुरू करो
V000309,Hindi,start_game,मेमोरी गेम शुरू करो
V000310,Hindi,start_game,मेमोरी गेम शुरू करो
V000311,Hindi,start_game,मेमोरी गेम शुरू करो
V000312,Hindi,start_game,मेमोरी गेम शुरू करो
V000313,Hindi,start_game,मेमोरी गेम शुरू करो
V000314,Hindi,start_game,मेमोरी गेम शुरू करो
V000315,Hindi,start_game,मेमोरी गेम शुरू करो
V000316,Hindi,start_game,मेमोरी गेम शुरू करो
V000317,Hindi,start_game,मेमोरी गेम शुरू करो
V000318,Hindi,start_game,मेमोरी गेम शुरू करो
V000319,Hindi,start_game,मेमोरी गेम शुरू करो
V000320,Hindi,start_game,मेमोरी गेम शुरू करो
V000321,Hindi,start_game,मेमोरी गेम शुरू करो
V000322,Hindi,start_game,मेमोरी गेम शुरू करो
V000323,Hindi,start_game,मेमोरी गेम शुरू करो
V000324,Hindi,start_game,मेमोरी गेम शुरू करो
V000325,Hindi,start_game,मेमोरी गेम शुरू करो
V000326,Hindi,start_game,मेमोरी गेम शुरू करो
V000327,Hindi,start_game,मेमोरी गेम शुरू करो
V000328,Hindi,start_game,मेमोरी गेम शुरू करो
V000329,Hindi,start_game,मेमोरी गेम शुरू करो
V000330,Hindi,start_game,मेमोरी गेम शुरू करो
V000331,Hindi,start_game,मेमोरी गेम शुरू करो
V000332,Hindi,start_game,मेमोरी गेम शुरू करो
V000333,Hindi,start_game,मेमोरी गेम शुरू करो
V000334,Hindi,start_game,मेमोरी गेम शुरू करो
V000335,Hindi,start_game,मेमोरी गेम शुरू करो
V000336,Hindi,start_game,मेमोरी गेम शुरू करो
V000337,Hindi,start_game,मेमोरी गेम शुरू करो
V000338,Hindi,start_game,मेमोरी गेम शुरू करो
V000339,Hindi,start_game,मेमोरी गेम शुरू करो
V000340,Hindi,start_game,मेमोरी गेम शुरू करो
V000341,Hindi,start_game,मेमोरी गेम शुरू करो
V000342,Hindi,start_game,मेमोरी गेम शुरू करो
V000343,Hindi,start_game,मेमोरी गेम शुरू करो
V000344,Hindi,start_game,मेमोरी गेम शुरू करो
V000345,Hindi,start_game,मेमोरी गेम शुरू करो
V000346,Hindi,start_game,मेमोरी गेम शुरू करो
V000347,Hindi,start_game,मेमोरी गेम शुरू करो
V000348,Hindi,start_game,मेमोरी गेम शुरू करो
V000349,Hindi,start_game,मेमोरी गेम शुरू करो
V000350,Hindi,start_game,मेमोरी गेम शुरू करो
V000351,Hindi,start_game,मेमोरी गेम शुरू करो
V000352,Hindi,start_game,मेमोरी गेम शुरू करो
V000353,Hindi,start_game,मेमोरी गेम शुरू करो
V000354,Hindi,start_game,मेमोरी गेम शुरू करो
V000355,Hindi,start_game,मेमोरी गेम शुरू करो
V000356,Hindi,start_game,मेमोरी गेम शुरू करो
V000357,Hindi,start_game,मेमोरी गेम शुरू करो
V000358,Hindi,start_game,मेमोरी गेम शुरू करो
V000359,Hindi,start_game,मेमोरी गेम शुरू करो
V000360,Hindi,start_game,मेमोरी गेम शुरू करो
V000361,Hindi,start_game,मेमोरी गेम शुरू करो
V000362,Hindi,start_game,मेमोरी गेम शुरू करो
V000363,Hindi,start_game,मेमोरी गेम शुरू करो
V000364,Hindi,start_game,मेमोरी गेम शुरू करो
V000365,Hindi,start_game,मेमोरी गेम शुरू करो
V000366,Hindi,start_game,मेमोरी गेम शुरू करो
V000367,Hindi,start_game,मेमोरी गेम शुरू करो
V000368,Hindi,start_game,मेमोरी गेम शुरू करो
V000369,Hindi,start_game,मेमोरी गेम शुरू करो
V000370,Hindi,start_game,मेमोरी गेम शुरू करो
V000371,Hindi,start_game,मेमोरी गेम शुरू करो
V000372,Hindi,start_game,मेमोरी गेम शुरू करो
V000373,Hindi,start_game,मेमोरी गेम शुरू करो
V000374,Hindi,start_game,मेमोरी गेम शुरू करो
V000375,Hindi,start_game,मेमोरी गेम शुरू करो
V000376,Hindi,start_game,मेमोरी गेम शुरू करो
V000377,Hindi,start_game,मेमोरी गेम शुरू करो
V000378,Hindi,start_game,मेमोरी गेम शुरू करो
V000379,Hindi,start_game,मेमोरी गेम शुरू करो
V000380,Hindi,start_game,मेमोरी गेम शुरू करो
V000381,Hindi,start_game,मेमोरी गेम शुरू करो
V000382,Hindi,start_game,मेमोरी गेम शुरू करो
V000383,Hindi,start_game,मेमोरी गेम शुरू करो
V000384,Hindi,start_game,मेमोरी गेम शुरू करो
V000385,Hindi,start_game,मेमोरी गेम शुरू करो
V000386,Hindi,start_game,मेमोरी गेम शुरू करो
V000387,Hindi,start_game,मेमोरी गेम शुरू करो
V000388,Hindi,start_game,मेमोरी गेम शुरू करो
V000389,Hindi,start_game,मेमोरी गेम शुरू करो
V000390,Hindi,start_game,मेमोरी गेम शुरू करो
V000391,Hindi,start_game,मेमोरी गेम शुरू करो
V000392,Hindi,start_game,मेमोरी गेम शुरू करो
V000393,Hindi,start_game,मेमोरी गेम शुरू करो
V000394,Hindi,start_game,मेमोरी गेम शुरू करो
V000395,Hindi,start_game,मेमोरी गेम शुरू करो
V000396,Hindi,start_game,मेमोरी गेम शुरू करो
V000397,Hindi,start_game,मेमोरी गेम शुरू करो
V000398,Hindi,start_game,मेमोरी गेम शुरू करो
V000399,Hindi,start_game,मेमोरी गेम शुरू करो
V000400,Hindi,start_game,मेमोरी गेम शुरू करो
V000401,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000402,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000403,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000404,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000405,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000406,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000407,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000408,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000409,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000410,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000411,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000412,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000413,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000414,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000415,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000416,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000417,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000418,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000419,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000420,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000421,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000422,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000423,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000424,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000425,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000426,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000427,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000428,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000429,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000430,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000431,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000432,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000433,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000434,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000435,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000436,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000437,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000438,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000439,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000440,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000441,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000442,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000443,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000444,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000445,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000446,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000447,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000448,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000449,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000450,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000451,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000452,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000453,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000454,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000455,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000456,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000457,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000458,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000459,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000460,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000461,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000462,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000463,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000464,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000465,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000466,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000467,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000468,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000469,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000470,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000471,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000472,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000473,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000474,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000475,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000476,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000477,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000478,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000479,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000480,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000481,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000482,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000483,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000484,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000485,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000486,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000487,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000488,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000489,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000490,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000491,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000492,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000493,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000494,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000495,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000496,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000497,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000498,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000499,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000500,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000501,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000502,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000503,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000504,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000505,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000506,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000507,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000508,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000509,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000510,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000511,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000512,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000513,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000514,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000515,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000516,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000517,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000518,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000519,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000520,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000521,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000522,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000523,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000524,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000525,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000526,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000527,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000528,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000529,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000530,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000531,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000532,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000533,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000534,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000535,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
V000536,Assamese,start_game,মেমৰি গেম আৰম্ভ কৰক
